symbol,zone_source,zone_class,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,gross_pnl_pct,pnl_pct,hold_bars
AUROPHARMA,1h,continuation,short,DBD,1546.0,1550.0,20.59,False,,False,True,True,False,1,2026-06-25 03:55:00+00:00,1546.9,engulfing,67.4,1.37,2026-06-25 04:15:00+00:00,1553.1,stop_loss,-0.401,-0.701,4
AXISBANK,1h,continuation,long,RBR,1152.4000244140625,1155.449951171875,6.19,False,,False,False,True,False,1,2026-04-02 06:30:00+00:00,1153.9,pin_bar,30.2,2.2,2026-04-02 07:00:00+00:00,1161.51,take_profit,0.659,0.409,6
AXISBANK,1h,continuation,long,RBR,1149.800048828125,1152.5,10.79,False,,False,False,True,True,1,2026-04-02 06:30:00+00:00,1153.9,pin_bar,30.2,2.2,2026-04-02 07:10:00+00:00,1166.7,take_profit,1.109,0.859,8
BAJAJ-AUTO,5m,continuation,long,RBR,11650.0,11659.0,6.23,False,,False,False,True,True,1,2026-08-05 09:15:00+00:00,11663.0,pin_bar,34.3,5.44,2026-08-05 09:55:00+00:00,11735.6,take_profit,0.622,0.372,6
BAJAJ-AUTO,5m,continuation,long,RBR,11650.0,11659.0,6.23,False,,False,False,True,True,2,2026-08-06 06:30:00+00:00,11650.0,pin_bar,32.5,1.43,2026-08-06 06:50:00+00:00,11626.7,stop_loss,-0.2,-0.5,4
BAJAJ-AUTO,1h,continuation,long,RBR,8755.0,8783.650390625,4.23,False,,False,False,True,False,1,2026-03-30 03:45:00+00:00,8793.0,pin_bar,24.6,1.67,2026-03-30 04:20:00+00:00,8841.0,trailing_stop,0.546,0.245,7
BAJAJ-AUTO,1h,continuation,short,DBD,11880.400390625,11903.099609375,11.02,False,,False,False,True,False,1,2026-08-25 09:30:00+00:00,11895.0,pin_bar,84.5,3.62,2026-08-26 03:45:00+00:00,11831.19,take_profit,0.536,0.287,3
BAJAJ-AUTO,1h,continuation,short,DBD,9415.0,9431.5,5.99,False,,False,True,True,False,1,2026-04-08 03:45:00+00:00,9376.5,pin_bar,87.0,1.67,2026-04-08 04:15:00+00:00,9450.36,stop_loss,-0.788,-1.088,6
BAJAJ-AUTO,1h,continuation,short,DBD,9019.0,9060.0,5.04,False,,False,False,True,False,1,2026-03-25 03:45:00+00:00,9033.0,pin_bar,69.5,2.27,2026-03-25 04:15:00+00:00,9007.0,trailing_stop,0.288,-0.012,6
BAJAJ-AUTO,1h,continuation,long,RBR,11693.0,11729.0,3.44,False,,False,False,True,False,1,2026-08-11 07:20:00+00:00,11699.0,pin_bar,27.5,2.7,2026-08-11 07:30:00+00:00,11669.61,stop_loss,-0.251,-0.551,2
